userName,ExperimentState,ReflectionPhasePart,elapsedTime,totalDistanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,Task0IsVisible,Task1IsVisible,Task2IsVisible,Task3IsVisible,Task4IsVisible,Task5IsVisible,Task6IsVisible,Task7IsVisible,Task8IsVisible,Task9IsVisible,Task10IsVisible,Task11IsVisible,Task12IsVisible,Task13IsVisible,Task14IsVisible,Task15IsVisible,Task16IsVisible,Task17IsVisible,Task18IsVisible,Task19IsVisible,Task20IsVisible,Task21IsVisible,Task22IsVisible,Task23IsVisible,
R_1234567890,Reflective,Main,6.380535,3.481943,-34.78234,44.61173,-14.77111,-34.66177,44.224,-14.4762,-34.62023,44.16634,-14.87916,12.35969,86.4226,354.0015,12.36,86.423,-5.999,328.9093,54.0639,3.043279,-31.091,54.064,3.043,327.0177,79.64632,9.944821,-32.982,79.646,9.945001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,6.515049,3.544017,-34.72116,44.60401,-14.76411,-34.59396,44.22198,-14.47696,-34.57141,44.1586,-14.88375,14.05649,87.15858,353.948,14.057,87.159,-6.052001,328.9059,55.96889,3.063955,-31.094,55.969,3.064,327.9572,80.16365,10.46487,-32.043,80.164,10.465,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,6.647362,3.608384,-34.65762,44.60535,-14.75637,-34.5223,44.2215,-14.47655,-34.51355,44.15657,-14.88416,15.11446,87.99963,353.5551,15.114,88.00001,-6.445,328.7137,58.01411,2.643974,-31.286,58.014,2.644,328.4878,79.86274,9.930431,-31.512,79.86301,9.93,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,6.78126,3.663066,-34.60343,44.61176,-14.75329,-34.45705,44.22918,-14.48227,-34.46222,44.1633,-14.88039,14.31789,89.884,353.1389,14.318,89.884,-6.861001,327.5584,61.58228,0.7762399,-32.442,61.582,0.776,327.7526,77.9406,9.561967,-32.247,77.941,9.562,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,6.90645,3.695735,-34.57102,44.61485,-14.75488,-34.40456,44.23409,-14.49716,-34.42383,44.17331,-14.88086,13.881,92.84978,352.6004,13.881,92.85001,-7.400001,326.9517,65.91412,0.5386532,-33.048,65.914,0.539,326.6428,77.26256,10.1058,-33.357,77.263,10.106,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,7.031286,3.727379,-34.54063,44.61706,-14.76318,-34.35564,44.23145,-14.53289,-34.40125,44.18449,-14.89329,13.71488,97.2691,352.626,13.715,97.269,-7.374001,326.8868,73.20885,359.9533,-33.113,73.20901,-0.047,324.6365,77.92032,12.32731,-35.364,77.92001,12.327,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,7.14881,3.75439,-34.51692,44.61971,-14.77556,-34.316,44.23061,-14.5772,-34.39056,44.19054,-14.92049,13.55346,101.3354,352.6608,13.553,101.335,-7.339,327.6444,79.63255,0.8585507,-32.356,79.633,0.859,324.371,83.17064,11.43956,-35.629,83.17101,11.44,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,7.282725,3.783611,-34.49917,44.62021,-14.79839,-34.27876,44.2367,-14.63965,-34.38888,44.20169,-14.96035,13.57148,107.7399,352.948,13.571,107.74,-7.052001,325.362,88.60111,1.075051,-34.638,88.60101,1.075,322.9089,89.14164,12.08509,-37.091,89.14201,12.085,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,7.417042,3.809481,-34.49465,44.62193,-14.82371,-34.24921,44.24931,-14.71025,-34.40855,44.23385,-15.00628,14.37673,114.8686,353.316,14.377,114.869,-6.684,321.5347,95.91707,4.049656,-38.465,95.91701,4.05,318.0199,93.7281,15.27289,-41.98,93.728,15.273,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
R_1234567890,Reflective,Main,7.549718,3.828251,-34.49306,44.61644,-14.84089,-34.22832,44.26857,-14.78878,-34.4551,44.26348,-15.06081,15.56631,124.2101,353.4237,15.566,124.21,-6.576,317.959,104.2755,7.364634,-42.041,104.276,7.365,313.2276,105.7645,16.15583,-46.772,105.764,16.156,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
