PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.67566,14.38441,24.51997,-34.24203,44.9099,-13.60642,-34.26072,44.49879,-13.3797,-33.87202,44.30099,-13.65141,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.47807,14.55356,24.71977,-34.04259,44.9115,-13.59783,-34.04216,44.50919,-13.37743,-33.67262,44.31573,-13.65672,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,15.23619,14.70689,24.96502,-33.79749,44.9139,-13.59189,-33.78621,44.51364,-13.38514,-33.4275,44.32036,-13.64943,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,14.88585,14.88501,25.32115,-33.4414,44.91457,-13.58811,-33.42752,44.51654,-13.38331,-33.0706,44.32328,-13.63875,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,14.51896,15.06487,25.69284,-33.06997,44.9139,-13.57531,-33.05996,44.51598,-13.36987,-32.70283,44.3235,-13.62277,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,14.18664,15.2287,26.0284,-32.73501,44.91267,-13.55544,-32.72441,44.51304,-13.35441,-32.37044,44.32351,-13.60033,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,13.86908,15.38921,26.34871,-32.41551,44.91265,-13.53274,-32.40321,44.51279,-13.33183,-32.0506,44.32572,-13.57965,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,13.51917,15.57383,26.70155,-32.0637,44.91215,-13.50591,-32.04924,44.51114,-13.3047,-31.69811,44.32769,-13.55856,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,13.19801,15.73325,27.02519,-31.74123,44.9121,-13.47852,-31.7256,44.51067,-13.27855,-31.3734,44.32924,-13.53656,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,12.86697,15.90196,27.35911,-31.40841,44.9122,-13.45168,-31.391,44.51019,-13.25268,-31.0372,44.33138,-13.51401,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,12.53784,16.07076,27.69216,-31.07605,44.91199,-13.43096,-31.05861,44.50982,-13.23279,-30.70252,44.33557,-13.4975,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,12.21029,16.23383,28.027,-30.74138,44.91251,-13.42677,-30.72194,44.50911,-13.22888,-30.36793,44.34161,-13.49949,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,11.89388,16.39742,28.35458,-30.41405,44.91249,-13.43856,-30.39418,44.50915,-13.24185,-30.03813,44.34476,-13.50213,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,11.56346,16.57482,28.69865,-30.07042,44.91244,-13.45561,-30.04869,44.5085,-13.26057,-29.69327,44.35228,-13.51679,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,11.24471,16.73888,29.03197,-29.73763,44.91227,-13.47402,-29.71489,44.50761,-13.27998,-29.3634,44.362,-13.54577,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,10.92911,16.90455,29.36246,-29.40757,44.91158,-13.49103,-29.38688,44.50684,-13.29792,-29.03565,44.36554,-13.56527,,,,,,,-18.831,44.641,-10.7509
Walk,Complexity,Walk,1,Task1,0.5036428,0.7,0.1963572,10.60617,17.07796,29.69944,-29.07076,44.91101,-13.50141,-29.0504,44.50518,-13.30835,-28.70176,44.36717,-13.57825,,,,,,,-18.831,44.641,-10.7509
